Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income,Rating,A,B,C,Mandalay,Naypyitaw,Yangon,Member,Normal,Female,Male,Electronic accessories,Fashion accessories,Food and beverages,Health and beauty,Home and lifestyle,Sports and travel,Cash,Credit card,Ewallet,Day of week
74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415,9.1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,5
15.28,5,3.82,80.22,76.4,4.761904762,3.82,9.6,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,4
46.33,7,16.2155,340.5255,324.31,4.761904762,16.2155,7.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,6
58.22,8,23.288,489.048,465.76,4.761904762,23.288,8.4,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,6
86.31,7,30.2085,634.3785,604.17,4.761904762,30.2085,5.3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,4
85.39,7,29.8865,627.6165,597.73,4.761904762,29.8865,4.1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
68.84,6,20.652,433.692,413.04,4.761904762,20.652,5.8,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
73.56,10,36.78,772.38,735.6,4.761904762,36.78,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,6
36.26,2,3.626,76.146,72.52,4.761904762,3.626,7.2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,3
54.84,3,8.226,172.746,164.52,4.761904762,8.226,5.9,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2
14.48,4,2.896,60.816,57.92,4.761904762,2.896,4.5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2
25.51,4,5.102,107.142,102.04,4.761904762,5.102,6.8,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,5
46.95,5,11.7375,246.4875,234.75,4.761904762,11.7375,7.1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
43.19,10,21.595,453.495,431.9,4.761904762,21.595,8.2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,3
71.38,10,35.69,749.49,713.8,4.761904762,35.69,5.7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,4
93.72,6,28.116,590.436,562.32,4.761904762,28.116,4.5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
68.93,7,24.1255,506.6355,482.51,4.761904762,24.1255,4.6,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
72.61,6,21.783,457.443,435.66,4.761904762,21.783,6.9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
54.67,3,8.2005,172.2105,164.01,4.761904762,8.2005,8.6,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
40.3,2,4.03,84.63,80.6,4.761904762,4.03,4.4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
86.04,5,21.51,451.71,430.2,4.761904762,21.51,4.8,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
87.98,3,13.197,277.137,263.94,4.761904762,13.197,5.1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
33.2,2,3.32,69.72,66.4,4.761904762,3.32,4.4,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4
34.56,5,8.64,181.44,172.8,4.761904762,8.64,9.9,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,6
88.63,3,13.2945,279.1845,265.89,4.761904762,13.2945,6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,5
52.59,8,21.036,441.756,420.72,4.761904762,21.036,8.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,4
33.52,1,1.676,35.196,33.52,4.761904762,1.676,6.7,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4
87.67,2,8.767,184.107,175.34,4.761904762,8.767,7.7,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,6
88.36,5,22.09,463.89,441.8,4.761904762,22.09,9.6,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,4
24.89,9,11.2005,235.2105,224.01,4.761904762,11.2005,7.4,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,4
94.13,5,23.5325,494.1825,470.65,4.761904762,23.5325,4.8,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
78.07,9,35.1315,737.7615,702.63,4.761904762,35.1315,4.5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
83.78,8,33.512,703.752,670.24,4.761904762,33.512,5.1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,3
96.58,2,9.658,202.818,193.16,4.761904762,9.658,5.1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,4
99.42,4,19.884,417.564,397.68,4.761904762,19.884,7.5,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2
68.12,1,3.406,71.526,68.12,4.761904762,3.406,6.8,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
62.62,5,15.655,328.755,313.1,4.761904762,15.655,7,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,6
60.88,9,27.396,575.316,547.92,4.761904762,27.396,4.7,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
54.92,8,21.968,461.328,439.36,4.761904762,21.968,7.6,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
30.12,8,12.048,253.008,240.96,4.761904762,12.048,7.7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,6
86.72,1,4.336,91.056,86.72,4.761904762,4.336,7.9,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3
56.11,2,5.611,117.831,112.22,4.761904762,5.611,6.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5
69.12,6,20.736,435.456,414.72,4.761904762,20.736,5.6,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4
98.7,8,39.48,829.08,789.6,4.761904762,39.48,7.6,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
15.37,2,1.537,32.277,30.74,4.761904762,1.537,7.2,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,5
93.96,4,18.792,394.632,375.84,4.761904762,18.792,9.5,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5
56.69,9,25.5105,535.7205,510.21,4.761904762,25.5105,8.4,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2
20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,4.1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2
18.93,6,5.679,119.259,113.58,4.761904762,5.679,8.1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,6
82.63,10,41.315,867.615,826.3,4.761904762,41.315,7.9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
91.4,7,31.99,671.79,639.8,4.761904762,31.99,9.5,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,6
44.59,5,11.1475,234.0975,222.95,4.761904762,11.1475,8.5,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,6
17.87,4,3.574,75.054,71.48,4.761904762,3.574,6.5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
15.43,1,0.7715,16.2015,15.43,4.761904762,0.7715,6.1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,4
16.16,2,1.616,33.936,32.32,4.761904762,1.616,6.5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3
85.98,8,34.392,722.232,687.84,4.761904762,34.392,8.2,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3
44.34,2,4.434,93.114,88.68,4.761904762,4.434,5.8,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,2
89.6,8,35.84,752.64,716.8,4.761904762,35.84,6.6,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,3
72.35,10,36.175,759.675,723.5,4.761904762,36.175,5.4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,6
30.61,6,9.183,192.843,183.66,4.761904762,9.183,9.3,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
24.74,3,3.711,77.931,74.22,4.761904762,3.711,10,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,4
55.73,6,16.719,351.099,334.38,4.761904762,16.719,7,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,6
55.07,9,24.7815,520.4115,495.63,4.761904762,24.7815,10,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,6
15.81,10,7.905,166.005,158.1,4.761904762,7.905,8.6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2
75.74,4,15.148,318.108,302.96,4.761904762,15.148,7.6,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,3
15.87,10,7.935,166.635,158.7,4.761904762,7.935,5.8,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,2
33.47,2,3.347,70.287,66.94,4.761904762,3.347,6.7,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,6
97.61,6,29.283,614.943,585.66,4.761904762,29.283,9.9,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
78.77,10,39.385,827.085,787.7,4.761904762,39.385,6.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,3
18.33,1,0.9165,19.2465,18.33,4.761904762,0.9165,4.3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,5
89.48,10,44.74,939.54,894.8,4.761904762,44.74,9.6,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,6
62.12,10,31.06,652.26,621.2,4.761904762,31.06,5.9,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
48.52,3,7.278,152.838,145.56,4.761904762,7.278,4,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
75.91,6,22.773,478.233,455.46,4.761904762,22.773,8.7,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5
74.67,9,33.6015,705.6315,672.03,4.761904762,33.6015,9.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
41.65,10,20.825,437.325,416.5,4.761904762,20.825,5.4,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,6
49.04,9,22.068,463.428,441.36,4.761904762,22.068,8.6,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2
20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,5.7,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,5
78.31,10,39.155,822.255,783.1,4.761904762,39.155,6.6,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
20.38,5,5.095,106.995,101.9,4.761904762,5.095,6,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
99.19,6,29.757,624.897,595.14,4.761904762,29.757,5.5,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
96.68,3,14.502,304.542,290.04,4.761904762,14.502,6.4,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,5
19.25,8,7.7,161.7,154,4.761904762,7.7,6.6,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2
80.36,4,16.072,337.512,321.44,4.761904762,16.072,8.3,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,5
48.91,5,12.2275,256.7775,244.55,4.761904762,12.2275,6.6,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,5
83.06,7,29.071,610.491,581.42,4.761904762,29.071,4,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
76.52,5,19.13,401.73,382.6,4.761904762,19.13,9.9,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
49.38,7,17.283,362.943,345.66,4.761904762,17.283,7.3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2
42.47,1,2.1235,44.5935,42.47,4.761904762,2.1235,5.7,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,2
76.99,6,23.097,485.037,461.94,4.761904762,23.097,6.1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2
47.38,4,9.476,198.996,189.52,4.761904762,9.476,7.1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2
44.86,10,22.43,471.03,448.6,4.761904762,22.43,8.2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5
21.98,7,7.693,161.553,153.86,4.761904762,7.693,5.1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,3
64.36,9,28.962,608.202,579.24,4.761904762,28.962,8.6,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
89.75,1,4.4875,94.2375,89.75,4.761904762,4.4875,6.6,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2
97.16,1,4.858,102.018,97.16,4.761904762,4.858,7.2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,4
87.87,10,43.935,922.635,878.7,4.761904762,43.935,5.1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4
12.45,6,3.735,78.435,74.7,4.761904762,3.735,4.1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5
52.75,3,7.9125,166.1625,158.25,4.761904762,7.9125,9.3,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,5
82.7,6,24.81,521.01,496.2,4.761904762,24.81,7.4,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
48.71,1,2.4355,51.1455,48.71,4.761904762,2.4355,4.1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
78.55,9,35.3475,742.2975,706.95,4.761904762,35.3475,7.2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,4
23.07,9,10.3815,218.0115,207.63,4.761904762,10.3815,4.9,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,4
58.26,6,17.478,367.038,349.56,4.761904762,17.478,9.9,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,3
30.35,7,10.6225,223.0725,212.45,4.761904762,10.6225,8,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
88.67,10,44.335,931.035,886.7,4.761904762,44.335,7.3,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,5
27.38,6,8.214,172.494,164.28,4.761904762,8.214,7.9,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,5
62.13,6,18.639,391.419,372.78,4.761904762,18.639,7.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,4
33.98,9,15.291,321.111,305.82,4.761904762,15.291,4.2,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,6
81.97,10,40.985,860.685,819.7,4.761904762,40.985,9.2,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,6
16.49,2,1.649,34.629,32.98,4.761904762,1.649,4.6,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
98.21,3,14.7315,309.3615,294.63,4.761904762,14.7315,7.8,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
72.84,7,25.494,535.374,509.88,4.761904762,25.494,8.4,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4
58.07,9,26.1315,548.7615,522.63,4.761904762,26.1315,4.3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,5
80.79,9,36.3555,763.4655,727.11,4.761904762,36.3555,9.5,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4
27.02,3,4.053,85.113,81.06,4.761904762,4.053,7.1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,5
21.94,5,5.485,115.185,109.7,4.761904762,5.485,5.3,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
51.36,1,2.568,53.928,51.36,4.761904762,2.568,5.2,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2
10.96,10,5.48,115.08,109.6,4.761904762,5.48,6,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,5
53.44,2,5.344,112.224,106.88,4.761904762,5.344,4.1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,6
99.56,8,39.824,836.304,796.48,4.761904762,39.824,5.2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,3
57.12,7,19.992,419.832,399.84,4.761904762,19.992,6.5,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,5
99.96,9,44.982,944.622,899.64,4.761904762,44.982,4.2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,5
63.91,8,25.564,536.844,511.28,4.761904762,25.564,4.6,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2
56.47,8,22.588,474.348,451.76,4.761904762,22.588,7.3,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
93.69,7,32.7915,688.6215,655.83,4.761904762,32.7915,4.5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,6
32.25,5,8.0625,169.3125,161.25,4.761904762,8.0625,9,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,6
31.73,9,14.2785,299.8485,285.57,4.761904762,14.2785,5.9,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
68.54,8,27.416,575.736,548.32,4.761904762,27.416,8.5,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
90.28,9,40.626,853.146,812.52,4.761904762,40.626,7.2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,4
39.62,7,13.867,291.207,277.34,4.761904762,13.867,7.5,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4
92.13,6,27.639,580.419,552.78,4.761904762,27.639,8.3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2
34.84,4,6.968,146.328,139.36,4.761904762,6.968,7.4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,6
87.45,6,26.235,550.935,524.7,4.761904762,26.235,8.8,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,6
81.3,6,24.39,512.19,487.8,4.761904762,24.39,5.3,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4
90.22,3,13.533,284.193,270.66,4.761904762,13.533,6.2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
26.31,5,6.5775,138.1275,131.55,4.761904762,6.5775,8.8,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,4
34.42,6,10.326,216.846,206.52,4.761904762,10.326,9.8,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
51.91,10,25.955,545.055,519.1,4.761904762,25.955,8.2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,5
72.5,8,29,609,580,4.761904762,29,9.2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,5
89.8,10,44.9,942.9,898,4.761904762,44.9,5.4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2
90.5,10,45.25,950.25,905,4.761904762,45.25,8.1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,4
68.6,10,34.3,720.3,686,4.761904762,34.3,9.1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
30.41,1,1.5205,31.9305,30.41,4.761904762,1.5205,8.4,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,4
77.95,6,23.385,491.085,467.7,4.761904762,23.385,8,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
46.26,6,13.878,291.438,277.56,4.761904762,13.878,9.5,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4
30.14,10,15.07,316.47,301.4,4.761904762,15.07,9.2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,6
66.14,4,13.228,277.788,264.56,4.761904762,13.228,5.6,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
71.86,8,28.744,603.624,574.88,4.761904762,28.744,6.2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2
32.46,8,12.984,272.664,259.68,4.761904762,12.984,4.9,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2
91.54,4,18.308,384.468,366.16,4.761904762,18.308,4.8,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5
34.56,7,12.096,254.016,241.92,4.761904762,12.096,7.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
83.24,9,37.458,786.618,749.16,4.761904762,37.458,7.4,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
16.48,6,4.944,103.824,98.88,4.761904762,4.944,9.9,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3
80.97,8,32.388,680.148,647.76,4.761904762,32.388,9.3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
92.29,5,23.0725,484.5225,461.45,4.761904762,23.0725,9,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2
72.17,1,3.6085,75.7785,72.17,4.761904762,3.6085,6.1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,4
50.28,5,12.57,263.97,251.4,4.761904762,12.57,9.7,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3
97.22,9,43.749,918.729,874.98,4.761904762,43.749,6,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,5
93.39,6,28.017,588.357,560.34,4.761904762,28.017,10,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2
43.18,8,17.272,362.712,345.44,4.761904762,17.272,8.3,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,5
63.69,1,3.1845,66.8745,63.69,4.761904762,3.1845,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
45.79,7,16.0265,336.5565,320.53,4.761904762,16.0265,7,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,2
